city,size_1,BH_2010,BH_2020,UHAE_range,UHAE_temp,range_2010,temp_2010,range_2020,temp_2020,GDP,population,风向差(绝对值),speed_2010(m/s),speed_2020(m/s),size_2,center_bh_rise(m)
六盘水市,small,4.473243647,16.33425159,10.28393096,0.807440022,0.101002317,0.417222995,8.029651987,1.074853149,1342.48,308.9385573,0,3.891007551,4.339691604,small,11.86100794
兴安盟,small,1.660543689,10.94088881,9.659728853,0.919508054,4.889751469,0.282558201,6.249174387,0.633894768,547.92,143.0123226,0,4.147926656,3.955214575,small,9.280345121
内江市,small,8.862150892,16.49245872,8.896899201,0.655310233,4.319908335,0.473773862,13.8459741,1.146675734,1444.49,313.707246,0,3.193261271,3.312583087,small,7.630307828
十堰市,small,8.401880141,20.03399809,10.08937826,0.810450548,7.560632401,0.602117767,8.437867485,1.16087438,1915.07,322.8415241,0,2.135465716,2.534822819,small,11.63211795
南平市,small,0.205401634,8.657330981,10.14805716,0.678693041,0.239001241,0.131426175,7.723200407,0.536581414,2007.4,268.918246,0,2.337080203,2.645623666,small,8.451929347
双河市,small,0.048384536,3.534378103,6.224338978,0.476325157,0.261100551,0.100001101,0.800112312,0.196726709,82.92,4.771035938,0,1.927577123,1.519289391,small,3.485993567
吉林市,small,7.234240052,16.03436546,8.896518213,0.63988644,3.948642924,0.576883546,12.81185079,0.977103368,1444.6,362.7182738,0,3.226717562,3.75322248,small,8.800125408
吕梁市,small,5.709330144,9.51988599,13.90161782,0.509430976,3.112775268,0.543752569,9.469251831,0.954212637,1538.04,344.6743984,0,3.427086017,3.496094273,small,3.810555846
呼伦贝尔市,small,3.962121767,13.09920368,9.854537296,0.737839724,0.131266578,0.528357853,7.666309416,0.67305842,1172.2,240.8142863,0,3.40017342,3.580574941,small,9.137081913
咸宁市,small,3.532251816,12.89973069,9.284981984,0.640441227,1.905101984,0.253102723,11.60722762,0.932364384,1510.72,268.2981269,0,3.803531858,4.012838276,small,9.367478874
哈密市,small,4.705076683,14.13929173,9.521164546,0.715396744,2.294824196,0.363950901,11.01473844,0.895253447,607.91,59.73563393,0,4.042081061,4.191905281,small,9.434215047
四平市,small,4.347547539,12.51090639,8.692734312,0.666386704,3.400107215,0.304963739,10.45428733,0.601206991,526.57,182.1118851,0,4.723877304,5.272206549,small,8.163358851
固原市,small,2.41289419,7.015583873,7.232669849,0.526406814,0.822631201,0.411387949,11.32652783,0.34743827,352.46,116.365359,0,4.487597875,3.998725287,small,4.602689683
塔城地区,small,1.771423084,9.473788922,8.688712378,0.668500834,0.360100234,0.288956616,10.68497981,0.404099965,737.57,119.1834885,0,2.815970444,2.363887941,small,7.702365838
大庆市,small,5.899734626,14.66980866,9.799511606,0.652313217,5.303027003,0.35178045,11.26982281,0.647237813,2248.27,279.8438248,0,4.613421272,4.520789008,small,8.770074034
大理白族自治州,small,6.319539421,13.32281507,14.53758918,0.596312056,3.451271789,0.550026991,11.8673207,1.186828297,1484.04,337.8428462,0,3.118918259,3.663072236,small,7.003275649
天水市,small,4.73601728,6.841844039,5.925864223,0.402599247,1.519345486,0.465183505,4.15067238,0.242715899,664.31,302.4311286,0,3.894825982,3.623252563,small,2.105826759
娄底市,small,7.268078385,19.28265635,10.22539356,0.771913415,0.977447237,0.534437021,11.42658999,1.079565416,1671.61,385.8835714,22.5,3.895690038,4.086418058,small,12.01457797
定安县,small,0.588037951,6.954707594,8.211005932,0.624271843,0.801261541,0.111129715,10.86694998,0.048415563,105.88,28.81533732,0,4.414052905,4.470902941,small,6.366669643
定西市,small,2.919039186,7.574827204,6.401888589,0.507300142,2.249009595,0.267609039,10.26303544,0.302890018,441.36,254.9420518,0,4.226214269,3.788632591,small,4.655788018
宣城市,small,3.295021541,14.49373882,9.345144227,0.727500554,5.681992223,0.242289858,13.98104566,0.663603771,1591.36,249.83735,22.5,3.683560664,4.036157567,small,11.19871728
屯昌县,small,0.731981509,4.795974921,6.703954407,0.55222534,1.200012,0.10001541,4.503765694,0.113453608,88.56,25.75173526,0,3.88894855,3.821064865,small,4.063993412
山南市,small,0.567028368,6.291714787,7.230210312,0.721046292,1.41123561,0.10034561,0.862645107,0.563682959,215.4,36.13981056,0,2.998293913,3.052773042,small,5.724686419
崇左市,small,1.018768691,8.462679111,8.359825711,0.650144087,0.240015678,0.247936979,2.41009867,0.388684985,832.05,211.1506195,0,4.497204622,5.281720581,small,7.44391042
巴音郭楞蒙古自治州,small,7.128539851,17.76904426,10.04255495,0.728425959,3.729473578,0.401084375,16.37281137,0.962581545,1106.29,155.2373223,22.5,2.87103762,2.942474501,small,10.64050441
广安市,small,2.811504978,12.49868906,9.120314801,0.728951857,0.980001567,0.242321053,9.320064385,0.537947823,1301.57,327.60513,0,2.812825159,3.112611618,small,9.687184082
庆阳市,small,4.044032866,10.30573144,8.366215001,0.551836493,0.460076259,0.325781558,3.330278183,0.500430937,754.73,219.5505276,22.5,4.211225983,3.757207081,small,6.261698574
怒江傈僳族自治州,small,0.64560012,3.741873972,5.690857448,0.526290192,0.660078971,0.111298701,3.48135598,0.711487614,210.73,56.34448253,0,2.567445623,2.99552107,small,3.096273852
