city_name,year,R,R的平方,p值,RMSE,样本数量
嘉峪关市,2010,0.4671,0.2182,1.063400e-02,0.0278,29.0
嘉峪关市,2020,0.825,0.6806,2.050100e-08,0.0846,30.0
四平市,2010,0.9221,0.8502,1.748900e-13,0.1139,31.0
四平市,2020,0.9607,0.9229,1.116800e-17,0.0855,31.0
固原市,2010,0.3521,0.124,6.104300e-02,0.1124,29.0
固原市,2020,0.9543,0.9107,1.090900e-15,0.0532,29.0
图木舒克市,2010,0.5754,0.3311,7.071700e-04,0.363,31.0
图木舒克市,2020,0.9709,0.9427,2.709600e-18,0.1053,29.0
塔城地区,2010,0.8482,0.7194,2.313700e-06,0.2647,20.0
塔城地区,2020,0.92,0.8463,9.556200e-09,0.1487,20.0
大兴安岭地区,2010,0.4733,0.224,8.253900e-03,0.0717,30.0
大兴安岭地区,2020,,0.0,nan,0.0891,31.0
大同市,2010,0.503,0.253,4.613300e-03,0.0916,30.0
大同市,2020,0.9652,0.9316,1.965800e-18,0.0382,31.0
大庆市,2010,0.8218,0.6753,1.454100e-08,0.0238,31.0
大庆市,2020,0.9285,0.8622,3.906500e-13,0.0279,29.0
大理白族自治州,2010,0.2266,0.0513,2.203400e-01,0.718,31.0
大理白族自治州,2020,0.851,0.7242,2.556300e-09,0.4483,30.0
大连市,2010,0.9796,0.9596,2.091700e-05,0.0151,8.0
大连市,2020,0.9884,0.977,3.819900e-06,0.0143,8.0
天水市,2010,0.9174,0.8417,2.575000e-12,0.1049,29.0
天水市,2020,0.9274,0.8601,1.309900e-12,0.0918,28.0
天津市,2010,0.979,0.9585,1.395900e-21,0.0702,31.0
天津市,2020,0.9729,0.9465,1.071700e-18,0.0825,29.0
天门市,2010,0.68,0.4625,6.863200e-05,0.0248,28.0
天门市,2020,0.7752,0.601,4.898900e-07,0.018,30.0
太原市,2010,0.9075,0.8235,1.125900e-11,0.1042,29.0
太原市,2020,0.4425,0.1958,1.268200e-02,0.2515,31.0
威海市,2010,0.7556,0.5709,2.155100e-06,0.1273,29.0
威海市,2020,0.9,0.8099,1.322200e-11,0.0957,30.0
娄底市,2010,0.3273,0.1071,7.228000e-02,0.0769,31.0
娄底市,2020,0.4669,0.218,8.090700e-03,0.1232,31.0
孝感市,2010,0.9624,0.9262,8.318800e-17,0.0163,29.0
孝感市,2020,0.6424,0.4127,1.718200e-04,0.0688,29.0
宁德市,2010,0.7638,0.5834,9.074800e-07,0.3226,30.0
宁德市,2020,0.7822,0.6118,2.022600e-07,0.3342,31.0
宁波市,2010,0.9176,0.842,3.812600e-13,0.1808,31.0
宁波市,2020,0.9373,0.8786,2.401900e-14,0.1569,30.0
安庆市,2010,0.3434,0.1179,5.856100e-02,0.2705,31.0
安庆市,2020,0.8326,0.6933,6.281900e-09,0.08,31.0
安康市,2010,0.42,0.1764,1.864600e-02,0.8737,31.0
安康市,2020,0.7608,0.5788,6.782500e-07,0.6248,31.0
安阳市,2010,0.9968,0.9937,2.960600e-31,0.0215,29.0
安阳市,2020,0.9855,0.9713,6.494800e-24,0.0476,31.0
安顺市,2010,0.3613,0.1305,4.585000e-02,0.2465,31.0
安顺市,2020,0.3595,0.1293,4.697200e-02,0.2,31.0
定安县,2010,0.8758,0.767,1.042200e-09,0.0531,28.0
定安县,2020,0.796,0.6336,8.619700e-08,0.1197,31.0
定西市,2010,0.3651,0.1333,5.151300e-02,0.2529,29.0
定西市,2020,0.2598,0.0675,1.581100e-01,0.2028,31.0
宜宾市,2010,0.8973,0.8052,8.114100e-12,0.0527,31.0
宜宾市,2020,0.8758,0.767,4.961200e-10,0.044,29.0
宜昌市,2010,0.9294,0.8637,4.412300e-14,0.0379,31.0
宜昌市,2020,0.7566,0.5724,8.467300e-07,0.0846,31.0
宜春市,2010,0.6359,0.4043,1.208600e-04,0.4121,31.0
宜春市,2020,0.8392,0.7042,3.684500e-09,0.3385,31.0
宝鸡市,2010,0.7817,0.611,3.398800e-07,0.1438,30.0
宝鸡市,2020,0.5039,0.2539,3.853100e-03,0.2102,31.0
宣城市,2010,0.7048,0.4967,1.971200e-05,0.2696,29.0
宣城市,2020,0.808,0.6529,1.155800e-07,0.174,29.0
宿州市,2010,0.9409,0.8854,1.068500e-14,0.0287,30.0
宿州市,2020,0.9831,0.9664,1.099500e-20,0.0086,28.0
宿迁市,2010,0.9929,0.9858,2.122800e-27,0.0138,30.0
宿迁市,2020,0.9681,0.9371,5.723100e-19,0.0191,31.0
屯昌县,2010,0.8186,0.6701,3.251700e-08,0.1023,30.0
屯昌县,2020,0.8292,0.6876,4.966400e-08,0.1268,28.0
山南市,2010,,0.0,nan,1.5151,31.0
山南市,2020,0.9551,0.9122,2.504100e-16,0.4311,30.0
