FID,BH_2010,BH_2020,MODIS_2010,MODIS_2020,city_name,buffer_id,distance,predict_2010,residual_2010,predict_2020,residual_2020,predict_20-10
9997,0.009362925,1.072196794,27.20100915,27.62267096,怀化市,0,-30,27.20100915,0,27.62267096,0,0.42166181
20418,0,0,15.16350931,15.01471269,怒江傈僳族自治州,60,30,16.89896023,-1.735450916,16.59115381,-1.57644112,-0.307806416
20419,0,0,14.71630431,14.60334449,怒江傈僳族自治州,59,29,16.89896023,-2.182655916,16.59115381,-1.98780932,-0.307806416
20420,0,0,14.49891309,14.46656519,怒江傈僳族自治州,58,28,16.89896023,-2.400047136,16.59115381,-2.12458862,-0.307806416
20421,0,0,14.48436455,14.51400499,怒江傈僳族自治州,57,27,16.89896023,-2.414595676,16.59115381,-2.07714882,-0.307806416
20422,0,0,14.48294308,14.56158019,怒江傈僳族自治州,56,26,16.89896023,-2.416017146,16.59115381,-2.02957362,-0.307806416
20423,0,0,14.57938954,14.7102424,怒江傈僳族自治州,55,25,16.89896023,-2.319570686,16.59115381,-1.88091141,-0.307806416
20424,0,0,14.48712375,14.64882942,怒江傈僳族自治州,54,24,16.89896023,-2.411836476,16.59115381,-1.94232439,-0.307806416
20425,0,0,14.26208191,14.44962381,怒江傈僳族自治州,53,23,16.89896023,-2.636878316,16.59115381,-2.14153,-0.307806416
20426,0,0,13.9720562,14.18269933,怒江傈僳族自治州,52,22,16.89896023,-2.926904026,16.59115381,-2.40845448,-0.307806416
20427,0,0,13.80522578,14.00238295,怒江傈僳族自治州,51,21,16.89896023,-3.093734446,16.59115381,-2.58877086,-0.307806416
20428,0,0,13.63064382,13.76463212,怒江傈僳族自治州,50,20,16.89896023,-3.268316406,16.59115381,-2.82652169,-0.307806416
20429,0,0,13.6024456,13.7421972,怒江傈僳族自治州,49,19,16.89896023,-3.296514626,16.59115381,-2.84895661,-0.307806416
20430,0,0,13.44000828,13.55576923,怒江傈僳族自治州,48,18,16.89896023,-3.458951946,16.59115381,-3.03538458,-0.307806416
20431,0,0,13.28899991,13.43547827,怒江傈僳族自治州,47,17,16.89896023,-3.609960316,16.59115381,-3.15567554,-0.307806416
20432,0,0,13.26279259,13.43808529,怒江傈僳族自治州,46,16,16.89896023,-3.636167636,16.59115381,-3.15306852,-0.307806416
20433,0,0,13.45242477,13.66028431,怒江傈僳族自治州,45,15,16.89896023,-3.446535456,16.59115381,-2.9308695,-0.307806416
20434,0,0,13.96408876,14.06312708,怒江傈僳族自治州,44,14,16.89896023,-2.934871466,16.59115381,-2.52802673,-0.307806416
20435,0,0,14.5479935,14.59377089,怒江傈僳族自治州,43,13,16.89896023,-2.350966726,16.59115381,-1.99738292,-0.307806416
20436,0,0,15.3873747,15.39999994,怒江傈僳族自治州,42,12,16.89896023,-1.511585526,16.59115381,-1.19115387,-0.307806416
20437,0,0,16.14542586,16.14139487,怒江傈僳族自治州,41,11,16.89896023,-0.753534366,16.59115381,-0.44975894,-0.307806416
20438,0,0.01489367,16.77462393,16.76224911,怒江傈僳族自治州,40,10,16.89896023,-0.124336296,16.73857048,0.023678628,-0.160389744
20439,0,0.034961736,18.2807275,18.27591969,怒江傈僳族自治州,39,9,16.89896023,1.381767274,16.93379944,1.342120251,0.034839213
20440,0,0.034961736,18.69328423,18.70493006,怒江傈僳族自治州,38,8,16.89896023,1.794324004,16.93379944,1.771130621,0.034839213
20441,0,0.035209107,19.48198166,19.52784271,怒江傈僳族自治州,37,7,16.89896023,2.583021434,16.93618169,2.591661016,0.037221469
20442,0,0.035002723,20.45330432,20.4336521,怒江傈僳族自治州,36,6,16.89896023,3.554344094,16.9341942,3.499457903,0.035233971
20443,0,0.059607978,20.99427255,20.93532603,怒江傈僳族自治州,35,5,16.89896023,4.095312324,17.16826674,3.767059286,0.269306518
20444,0.000852344,0.310330719,21.95384604,21.8913461,怒江傈僳族自治州,34,4,16.93038062,5.023465416,19.23584901,2.655497092,2.305468384
20445,0.224711779,1.779725876,22.85660535,22.92065207,怒江傈僳族自治州,33,3,21.7508285,1.105776846,22.83842185,0.082230216,1.08759335
20446,0.461831487,2.54863175,23.36371243,23.44987441,怒江傈僳族自治州,32,2,22.43075074,0.932961691,21.94960196,1.500272453,-0.481148783
20447,0.498721612,3.041573362,23.64799335,23.75284277,怒江傈僳族自治州,31,1,22.42939555,1.218597799,21.57646202,2.176380747,-0.852933528
20448,0.64560012,3.741873972,23.81453807,23.90620473,怒江傈僳族自治州,30,0,23.81453807,0,23.90620473,0,0.09166666
20449,0.703729697,4.156465808,23.46672246,23.51028437,怒江傈僳族自治州,29,-1,23.46672246,0,23.51028437,0,0.04356191
20450,0.704596722,3.877033863,22.56630437,22.53315213,怒江傈僳族自治州,28,-2,22.56630437,0,22.53315213,0,-0.03315224
20451,0.548330492,3.030572245,22.20139749,22.10361028,怒江傈僳族自治州,27,-3,22.20139749,0,22.10361028,0,-0.09778721
20452,0.231853524,1.774509195,21.2983277,21.20493317,怒江傈僳族自治州,26,-4,21.2983277,0,21.20493317,0,-0.09339453
20453,0.024740302,0.511254908,20.21869562,20.10991315,怒江傈僳族自治州,25,-5,20.21869562,0,20.10991315,0,-0.10878247
20454,0,0.015629764,19.36011699,19.2660536,怒江傈僳族自治州,24,-6,19.36011699,0,19.2660536,0,-0.09406339
20455,0,0,18.49828585,18.4302259,怒江傈僳族自治州,23,-7,18.49828585,0,18.4302259,0,-0.06805995
20456,0,0,17.88035102,17.84552694,怒江傈僳族自治州,22,-8,17.88035102,0,17.84552694,0,-0.03482408
20457,0,0,17.61312702,17.58908873,怒江傈僳族自治州,21,-9,17.61312702,0,17.58908873,0,-0.02403829
20458,0,0,17.30978253,17.31300172,怒江傈僳族自治州,20,-10,17.30978253,0,17.31300172,0,0.00321919
20459,0,0,17.12499987,17.18550727,怒江傈僳族自治州,19,-11,17.12499987,0,17.18550727,0,0.0605074
20460,0,0,16.76923065,16.88214886,怒江傈僳族自治州,18,-12,16.76923065,0,16.88214886,0,0.11291821
20461,0,0,15.75886277,15.96149656,怒江傈僳族自治州,17,-13,15.75886277,0,15.96149656,0,0.20263379
