city_name,year,R,R的平方,p值,RMSE,样本数量
太原市,2010,0.7794,0.6075,2.387800e-07,0.1704,31.0
太原市,2020,0.9734,0.9475,1.857000e-19,0.0595,30.0
威海市,2010,-0.117,0.0137,5.306400e-01,0.1354,31.0
威海市,2020,0.7702,0.5932,1.030800e-06,0.0488,29.0
娄底市,2010,0.6823,0.4655,2.363300e-05,0.0631,31.0
娄底市,2020,0.2917,0.0851,1.113900e-01,0.1266,31.0
孝感市,2010,0.7319,0.5356,2.887900e-06,0.0607,31.0
孝感市,2020,0.588,0.3458,5.036000e-04,0.0814,31.0
宁德市,2010,0.7011,0.4915,1.595600e-05,0.7208,30.0
宁德市,2020,0.758,0.5745,7.871400e-07,0.5979,31.0
宁波市,2010,0.7554,0.5706,9.015000e-07,0.466,31.0
宁波市,2020,0.9417,0.8869,2.930700e-15,0.2418,31.0
安庆市,2010,0.4184,0.175,1.917200e-02,0.2238,31.0
安庆市,2020,0.7611,0.5793,6.666500e-07,0.1095,31.0
安康市,2010,0.7023,0.4932,2.171100e-05,0.3722,29.0
安康市,2020,0.7956,0.6329,2.496400e-07,0.3491,29.0
安阳市,2010,0.9625,0.9265,7.816500e-17,0.0454,29.0
安阳市,2020,0.973,0.9468,9.797800e-19,0.0359,29.0
安顺市,2010,-0.0349,0.0012,8.519500e-01,0.0391,31.0
安顺市,2020,0.5644,0.3186,9.409600e-04,0.0497,31.0
定安县,2010,0.6536,0.4271,6.701200e-05,0.0722,31.0
定安县,2020,0.7165,0.5134,5.806500e-06,0.0673,31.0
定西市,2010,0.9042,0.8176,4.215700e-11,0.1455,28.0
定西市,2020,0.8752,0.766,5.240000e-10,0.1487,29.0
宜宾市,2010,0.7582,0.5749,7.764200e-07,0.0923,31.0
宜宾市,2020,0.866,0.75,1.292800e-09,0.0245,29.0
宜昌市,2010,0.8684,0.7541,5.018400e-10,0.0842,30.0
宜昌市,2020,0.7818,0.6112,5.519100e-07,0.1022,29.0
宜春市,2010,0.6175,0.3813,2.150400e-04,0.4624,31.0
宜春市,2020,0.8007,0.6411,6.342100e-08,0.3975,31.0
宝鸡市,2010,0.6997,0.4895,1.185600e-05,0.2497,31.0
宝鸡市,2020,0.6922,0.4792,1.601600e-05,0.2486,31.0
宣城市,2010,0.6192,0.3834,3.415300e-04,0.2204,29.0
宣城市,2020,0.8276,0.6849,3.073200e-08,0.1204,29.0
宿州市,2010,0.9456,0.8942,1.104200e-15,0.0997,31.0
宿州市,2020,0.9884,0.9769,1.914100e-24,0.0192,30.0
宿迁市,2010,0.9907,0.9815,8.264100e-26,0.0212,30.0
宿迁市,2020,0.911,0.83,1.112700e-12,0.05,31.0
屯昌县,2010,0.4635,0.2148,1.132700e-02,0.1564,29.0
屯昌县,2020,0.5653,0.3196,9.201400e-04,0.2574,31.0
山南市,2010,0.4645,0.2157,8.479800e-03,2.1283,31.0
山南市,2020,0.6719,0.4515,3.483100e-05,1.7764,31.0
岳阳市,2010,0.808,0.6528,3.898800e-08,0.1166,31.0
岳阳市,2020,0.8624,0.7437,4.494100e-10,0.0948,31.0
崇左市,2010,0.6454,0.4165,1.177700e-04,0.1877,30.0
崇左市,2020,0.7225,0.522,4.438900e-06,0.1966,31.0
巴中市,2010,0.854,0.7294,3.823200e-09,0.3747,29.0
巴中市,2020,0.9052,0.8195,3.674400e-11,0.3428,28.0
巴彦淖尔市,2010,0.9725,0.9458,5.513000e-18,0.0347,28.0
巴彦淖尔市,2020,0.9092,0.8267,3.610300e-12,0.0283,30.0
巴音郭楞蒙古自治州,2010,0.6872,0.4722,3.831200e-05,0.543,29.0
巴音郭楞蒙古自治州,2020,0.5495,0.302,2.016000e-03,0.4728,29.0
常州市,2010,0.9614,0.9243,3.131300e-17,0.0148,30.0
常州市,2020,0.9446,0.8923,1.435000e-15,0.0354,31.0
常德市,2010,0.86,0.7396,5.667500e-10,0.1524,31.0
常德市,2020,0.9508,0.904,2.685500e-16,0.0676,31.0
平凉市,2010,-0.6454,0.4166,8.837300e-05,0.1164,31.0
平凉市,2020,-0.7535,0.5678,9.931600e-07,0.0931,31.0
平顶山市,2010,0.9099,0.8279,1.962000e-11,0.0657,28.0
平顶山市,2020,0.9469,0.8967,7.894500e-15,0.0723,29.0
广元市,2010,0.7523,0.5659,1.635300e-06,0.3771,30.0
广元市,2020,0.7792,0.6072,3.915100e-07,0.3955,30.0
广安市,2010,0.2364,0.0559,2.168600e-01,0.3282,29.0
广安市,2020,0.5456,0.2977,2.204600e-03,0.3661,29.0
广州市,2010,0.6304,0.3974,2.467100e-04,0.0877,29.0
广州市,2020,0.7129,0.5082,1.430000e-05,0.0573,29.0
庆阳市,2010,-0.658,0.433,5.741800e-05,0.1348,31.0
庆阳市,2020,-0.1775,0.0315,3.393000e-01,0.1291,31.0
廊坊市,2010,0.9746,0.9498,2.166600e-20,0.0519,31.0
廊坊市,2020,0.989,0.9781,1.264100e-25,0.0374,31.0
延安市,2010,0.7578,0.5742,7.952500e-07,0.3553,31.0
延安市,2020,0.9295,0.864,1.186700e-13,0.1442,30.0
延边朝鲜族自治州,2010,0.8793,0.7731,7.559100e-11,0.3311,31.0
延边朝鲜族自治州,2020,0.9426,0.8885,2.370300e-15,0.2267,31.0
开封市,2010,0.9908,0.9817,3.996100e-24,0.0285,28.0
开封市,2020,0.9781,0.9566,6.243200e-20,0.0453,29.0
张家口市,2010,0.8941,0.7995,2.820400e-11,0.0802,30.0
张家口市,2020,0.8143,0.6631,1.346600e-07,0.0638,28.0
张家界市,2010,0.795,0.6319,9.215600e-08,0.4822,31.0
张家界市,2020,0.7205,0.5191,4.862300e-06,0.5375,31.0
张掖市,2010,0.1407,0.0198,4.581900e-01,0.3667,30.0
张掖市,2020,0.4201,0.1764,1.863900e-02,0.3851,31.0
徐州市,2010,0.9675,0.936,2.961200e-18,0.0739,30.0
徐州市,2020,0.9377,0.8792,7.616000e-15,0.052,31.0
德宏傣族景颇族自治州,2010,0.4318,0.1865,1.527000e-02,0.9537,31.0
